id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1025,IPL-2024,Chennai,22-03-2024,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,1,Chennai Super Kings,0.0,6.0,Mustafizur Rahman,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1026,IPL-2024,Mohali,23-03-2024,Delhi Capitals,Punjab Kings,Punjab Kings,field,normal,1,Punjab Kings,0.0,4.0,SM Curran,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",,,
1027,IPL-2024,Kolkata,23-03-2024,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,Kolkata Knight Riders,4.0,0.0,AD Russell,"Eden Gardens, Kolkata",,,
1028,IPL-2024,Jaipur,24-03-2024,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,normal,1,Rajasthan Royals,20.0,0.0,SV Samson,"Sawai Mansingh Stadium, Jaipur",,,
1029,IPL-2024,Ahmedabad,24-03-2024,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,normal,1,Gujarat Titans,6.0,0.0,B Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",,,
1030,IPL-2024,Bengaluru,25-03-2024,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Royal Challengers Bangalore,0.0,4.0,V Kohli,"M Chinnaswamy Stadium, Bengaluru",,,
1031,IPL-2024,Chennai,26-03-2024,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,normal,1,Chennai Super Kings,63.0,0.0,S Dube,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1032,IPL-2024,Hyderabad,27-03-2024,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,1,Sunrisers Hyderabad,31.0,0.0,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,
1033,IPL-2024,Jaipur,28-03-2024,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,normal,1,Rajasthan Royals,12.0,0.0,R Parag,"Sawai Mansingh Stadium, Jaipur",,,
1034,IPL-2024,Bengaluru,29-03-2024,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,0.0,7.0,SP Narine,"M Chinnaswamy Stadium, Bengaluru",,,
